"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2023","73.89","73.90","73.90","72.50","4.29M","0.67%"
"05/15/2023","73.40","73.00","73.50","71.82","1.43M","0.70%"
"05/12/2023","72.89","73.20","73.67","72.35","1.81M","-0.42%"
"05/11/2023","73.20","72.31","74.59","72.15","2.01M","1.74%"
"05/10/2023","71.95","73.50","73.99","71.36","2.52M","-2.57%"
"05/09/2023","73.85","76.85","76.85","73.00","4.80M","-3.44%"
"05/08/2023","76.48","77.01","77.79","76.01","2.17M","-0.62%"
"05/05/2023","76.96","76.89","78.78","75.80","2.69M","-1.95%"
"05/04/2023","78.49","78.25","79.01","77.25","4.78M","0.31%"
"05/03/2023","78.25","81.50","82.01","77.50","23.53M","0.40%"
"05/02/2023","77.94","73.90","77.94","73.90","6.03M","7.49%"
"04/28/2023","72.51","74.80","74.80","72.12","1.50M","-2.34%"
"04/27/2023","74.25","75.30","75.30","73.51","2.10M","-0.13%"
"04/26/2023","74.35","75.00","76.50","74.30","1.41M","-1.52%"
"04/20/2023","75.50","74.87","76.50","74.66","1.07M","0.67%"
"04/19/2023","75.00","74.25","75.42","74.25","1.09M","0.00%"
"04/18/2023","75.00","74.30","75.10","74.25","1.07M","1.19%"
"04/17/2023","74.12","73.68","74.99","73.68","986.98K","-0.31%"
"04/13/2023","74.35","74.33","74.98","73.71","335.00K","0.34%"
"04/12/2023","74.10","73.20","74.53","73.00","877.74K","1.51%"
"04/11/2023","73.00","73.20","73.50","72.99","319.76K","0.00%"
"04/10/2023","73.00","74.69","74.69","72.50","744.07K","-2.01%"
"04/07/2023","74.50","74.65","75.01","74.10","2.32M","0.00%"
"04/06/2023","74.50","74.65","75.05","73.71","1.72M","1.02%"
"04/05/2023","73.75","74.49","74.75","72.60","2.10M","0.70%"
"04/04/2023","73.24","73.50","74.00","72.60","200.39K","0.26%"
"04/03/2023","73.05","74.00","74.25","71.15","323.95K","-0.61%"
"03/31/2023","73.50","73.75","74.00","72.75","1.79M","0.68%"
"03/30/2023","73.00","74.00","74.00","72.10","885.43K","-0.67%"
"03/29/2023","73.49","74.77","75.00","73.04","756.88K","-1.53%"
"03/28/2023","74.63","73.94","76.00","73.65","3.53M","1.54%"
"03/27/2023","73.50","72.99","73.88","71.51","804.90K","1.38%"
"03/24/2023","72.50","74.85","74.85","71.31","82.42K","-0.48%"
"03/22/2023","72.85","74.24","74.70","72.51","204.13K","-1.55%"
"03/21/2023","74.00","73.50","74.84","72.75","318.83K","0.33%"
"03/20/2023","73.76","74.00","75.30","73.50","1.06M","-2.30%"
"03/17/2023","75.50","77.51","79.40","74.50","9.18M","-2.58%"
"03/16/2023","77.50","75.00","77.50","75.00","3.06M","2.24%"
"03/15/2023","75.80","73.55","76.97","73.55","4.82M","1.07%"
"03/14/2023","75.00","75.79","76.15","74.63","1.29M","-0.15%"
"03/13/2023","75.11","75.99","76.49","75.11","953.15K","0.15%"
"03/10/2023","75.00","74.90","75.99","74.70","1.31M","0.54%"
"03/09/2023","74.60","74.90","75.50","73.55","2.48M","0.04%"
"03/08/2023","74.57","74.70","75.30","73.70","3.75M","0.84%"
"03/07/2023","73.95","72.00","73.95","71.00","2.98M","3.07%"
"03/06/2023","71.75","72.34","72.34","70.03","1.15M","0.21%"
"03/03/2023","71.60","71.34","72.49","69.26","2.96M","0.14%"
"03/02/2023","71.50","70.75","72.50","69.50","2.23M","2.51%"
"03/01/2023","69.75","69.98","70.74","68.10","2.12M","0.56%"
"02/28/2023","69.36","70.50","70.73","69.24","2.53M","-0.94%"
"02/27/2023","70.02","69.99","70.59","69.00","6.19M","0.47%"
"02/24/2023","69.69","73.50","74.80","69.31","1.75M","-5.05%"
"02/23/2023","73.40","75.39","75.45","73.00","634.63K","-2.74%"
"02/22/2023","75.47","74.50","76.50","73.40","735.90K","1.95%"
"02/21/2023","74.03","75.89","75.99","74.03","373.14K","-1.02%"
"02/20/2023","74.79","77.00","77.00","74.32","399.56K","-1.66%"
"02/17/2023","76.05","76.80","77.89","75.50","1.18M","-0.65%"
"02/16/2023","76.55","79.40","79.40","76.50","1.18M","-2.66%"
"02/15/2023","78.64","77.30","79.50","75.25","2.35M","3.46%"
"02/14/2023","76.01","79.49","79.49","76.01","662.43K","-3.78%"
"02/13/2023","79.00","78.98","80.00","77.90","2.46M","0.55%"
"02/10/2023","78.57","77.60","81.89","77.10","6.75M","-0.98%"
"02/09/2023","79.35","75.74","79.74","75.74","6.60M","5.79%"
"02/08/2023","75.01","75.00","76.95","74.50","8.61M","1.34%"
"02/07/2023","74.02","73.55","75.00","73.50","4.77M","0.30%"
"02/06/2023","73.80","73.65","74.75","72.99","2.75M","0.82%"
"02/03/2023","73.20","73.00","74.10","72.06","1.10M","0.14%"
"02/02/2023","73.10","72.99","73.15","71.56","1.22M","0.34%"
"02/01/2023","72.85","71.81","74.50","71.81","6.17M","0.90%"
"01/31/2023","72.20","73.65","73.94","72.00","1.47M","-1.01%"
"01/30/2023","72.94","75.95","76.50","72.25","1.80M","-4.48%"
"01/27/2023","76.36","77.50","78.45","75.15","8.56M","4.46%"
"01/26/2023","73.10","70.50","73.10","70.50","8.73M","7.50%"
"01/25/2023","68.00","64.40","68.00","63.50","4.07M","7.09%"
"01/24/2023","63.50","60.70","63.59","60.70","466.65K","2.92%"
"01/23/2023","61.70","62.00","62.00","60.52","239.90K","-0.48%"
"01/20/2023","62.00","62.50","63.80","61.00","1.03M","-0.14%"
"01/19/2023","62.09","61.97","62.50","60.05","729.81K","0.63%"
"01/18/2023","61.70","61.30","62.40","61.00","461.78K","1.06%"
"01/17/2023","61.05","62.98","62.98","60.90","426.54K","-1.37%"
"01/16/2023","61.90","63.15","63.15","60.99","134.62K","-0.99%"
"01/13/2023","62.52","62.30","62.95","61.74","133.14K","-0.76%"
"01/12/2023","63.00","63.94","63.96","62.80","277.86K","-0.77%"
"01/11/2023","63.49","62.50","63.50","62.30","288.78K","1.98%"
"01/10/2023","62.26","62.20","63.77","62.20","289.18K","0.74%"
"01/09/2023","61.80","63.75","63.75","61.80","280.28K","-3.48%"
"01/06/2023","64.03","64.97","64.97","63.51","145.55K","-0.73%"
"01/05/2023","64.50","64.70","64.80","63.00","199.04K","1.42%"
"01/04/2023","63.60","62.10","64.00","62.10","109.78K","0.16%"
"01/03/2023","63.50","64.22","65.55","62.80","1.45M","-1.92%"
"01/02/2023","64.74","63.40","64.85","62.75","958.98K","3.92%"
"12/30/2022","62.30","60.34","64.00","59.60","3.21M","4.18%"
"12/29/2022","59.80","62.75","62.75","59.25","3.06M","-3.53%"
"12/28/2022","61.99","62.89","62.89","61.70","256.56K","-0.86%"
"12/27/2022","62.53","63.40","63.40","61.94","232.43K","-0.41%"
"12/26/2022","62.79","63.43","63.43","62.22","413.86K","0.37%"
"12/23/2022","62.56","62.95","63.45","61.45","313.71K","-0.70%"
"12/22/2022","63.00","63.00","63.82","62.50","508.93K","0.56%"
"12/21/2022","62.65","64.49","64.49","62.01","503.37K","-0.52%"
"12/20/2022","62.98","64.10","65.00","62.35","663.58K","-2.36%"
"12/19/2022","64.50","65.00","66.00","64.02","705.11K","0.00%"
"12/16/2022","64.50","64.89","65.35","63.20","470.76K","0.78%"
"12/15/2022","64.00","66.00","66.00","62.11","2.31M","-2.88%"
"12/14/2022","65.90","65.55","66.45","65.55","738.52K","-0.15%"
"12/13/2022","66.00","65.50","66.80","65.10","3.58M","1.23%"
"12/12/2022","65.20","66.29","66.35","65.20","5.51M","-0.62%"
"12/09/2022","65.61","67.65","67.75","65.50","1.55M","-1.78%"
"12/08/2022","66.80","68.34","68.34","66.75","665.89K","-1.04%"
"12/07/2022","67.50","68.00","68.25","67.30","1.71M","-0.37%"
"12/06/2022","67.75","68.00","68.29","67.15","311.75K","0.07%"
"12/05/2022","67.70","69.45","69.45","67.60","876.69K","-1.31%"
"12/02/2022","68.60","68.45","68.90","67.51","1.43M","1.25%"
"12/01/2022","67.75","66.98","70.10","66.98","5.48M","1.73%"
"11/30/2022","66.60","68.49","68.75","66.50","807.77K","-2.77%"
"11/29/2022","68.50","67.87","68.50","66.52","778.64K","3.01%"
"11/28/2022","66.50","69.00","69.00","66.50","712.64K","-2.21%"
"11/25/2022","68.00","68.48","68.48","67.76","1.25M","0.00%"
"11/24/2022","68.00","68.10","68.67","67.51","1.19M","-0.37%"
"11/23/2022","68.25","68.73","68.95","68.11","132.93K","0.00%"
"11/22/2022","68.25","68.90","68.92","68.00","100.66K","-0.06%"
"11/21/2022","68.29","67.52","68.49","67.50","265.28K","0.04%"
"11/18/2022","68.26","69.40","69.40","67.85","637.02K","-0.25%"
"11/17/2022","68.43","69.16","69.90","68.36","329.67K","-1.14%"
"11/16/2022","69.22","69.20","69.90","68.75","352.78K","-0.69%"
"11/15/2022","69.70","70.00","70.00","69.60","497.81K","-0.21%"
"11/14/2022","69.85","69.49","70.29","69.10","575.23K","0.50%"
"11/11/2022","69.50","69.99","70.29","69.26","541.12K","-0.29%"
"11/10/2022","69.70","68.00","71.25","67.50","3.76M","3.24%"
"11/08/2022","67.51","68.00","68.25","67.51","369.85K","-0.56%"
"11/07/2022","67.89","67.51","68.67","67.51","302.17K","0.28%"
"11/04/2022","67.70","68.01","68.40","67.30","257.25K","-2.04%"
"11/03/2022","69.11","69.48","70.00","68.70","1.51M","-0.20%"
"11/02/2022","69.25","69.85","70.49","69.08","517.56K","-0.82%"
"11/01/2022","69.82","70.49","70.50","69.70","992.10K","0.17%"
"10/31/2022","69.70","69.50","70.48","69.35","491.77K","-0.11%"
"10/28/2022","69.78","70.88","70.88","69.13","357.00K","-0.26%"
"10/27/2022","69.96","70.99","70.99","69.46","399.20K","-0.06%"
"10/26/2022","70.00","71.00","71.10","69.52","646.27K","-1.55%"
"10/25/2022","71.10","71.51","71.68","70.80","524.96K","-0.57%"
"10/24/2022","71.51","71.85","71.85","70.80","1.52M","0.58%"
"10/21/2022","71.10","71.49","71.89","70.50","3.10M","-0.70%"
"10/20/2022","71.60","71.74","71.74","71.37","3.78M","0.14%"
"10/19/2022","71.50","71.50","71.80","71.40","1.29M","0.00%"
"10/18/2022","71.50","71.94","71.94","71.30","1.37M","-0.01%"
"10/17/2022","71.51","71.90","71.90","71.40","1.29M","0.00%"
"10/14/2022","71.51","72.00","72.50","70.61","2.26M","0.01%"
"10/13/2022","71.50","71.99","71.99","71.35","1.18M","-0.27%"
